Part,Country,Site,Cultural phase/ Dates,Dates,Confidence,Lower Range BC,Lower Range CE,BP,Records,Latitude,Longtitude
Europe,Hungary,Sajópetri,La Tène B2-C1,300 - 200 BCE,Maybe,300,,2250,9 specimens,48.03515,20.88788
Europe,Italy,Populonia,Late Iron Age,300- 200 BCE,Maybe,300,,2250,7 specimens,42.98961,10.49181
Europe,Spain,Los Castellazos,Iron Age II,300 - 200 BCE,Maybe,300,,2250,2 specimens,41.466675,-0.707432
Europe,Greece,"Messene, Sanctuary",Hellenistic,300-100 BC ,Maybe,300,,2250,40,37.175,21.92
Europe,Italy,Este/Baratella,Late Iron Age,300-100 BCE,Maybe,300,,2250,2038 specimens,45.233333,11.666667
Northern Africa ,Egypt,Berenike,Ptolemaic Dynasty,305-30 BCE,Maybe,305,,2255,1 specimen,23.910428,35.476042
Europe,Spain,Barchin del Hoyo,Iron Age II,320 - 210 BCE,Maybe,320,,2270,185 specimens,39.6856,-2.03712
Northern Africa ,Egypt,Tuna el-Gebel (Tomb of Petosiris),,350-300 BCE,Maybe,350,,2300,depictions,27.781667,30.803889
Northern Africa ,Egypt,Syene/Aswan,Late Period; Ptolemaic Kingdom,350-300 BCE; 305-30 BCE,No,350,,2300,2 specimens; 6 specimens,24.094444,32.898333
Northern Africa ,Egypt,Tomb of Hapiu,30th Dynasty,380-343 BCE,Maybe,380,,2330,Depiction ,,
Europe,Spain,"Alorda Park, Calafell",Iron Age II,400 - 100 BCE,Maybe,400,,2350,8 specimens ,41.19065,1.57741
Europe,Spain,Cerro Macareno,Iron Age II,400 - 100 BCE,Maybe,400,,2350,2 specimens,37.48727,-5.98164
Europe,Spain,El Soto de Medinilla,Iron Age II,400 - 100 BCE,Maybe,400,,2350,?,41.67668,-4.7034
Europe,Spain,Muru,Iron Age II,400 - 100 BCE,Maybe,400,,2350,1 specimen,42.70647,-2.02196
Europe,Spain,Ucero,Iron Age II,400 - 100 BCE,Maybe,400,,2350,2 specimens,41.72494,-3.06263
Europe,Spain,Cerro de Santa Ana,Iron Age II,400 - 200 BCE,Maybe,400,,2350,9 specimens,41.75056,-2.44806
Europe,Spain,Los Castellones de Ceal,Iron Age II,400 - 300 BCE,Maybe,400,,2350,eggshells,37.91241,-3.12804
Europe,Italy,Roccagloriosa,Greek Period,400-300 BCE,Maybe,400,,2350,5 specimens,40.10862,15.43125
Europe,Germany,Reinheim,La Tène A-B,400-370 BCE,Maybe,400,,2350,figurine,49.82858,8.8311
Europe,Spain,"Santa Pola, La Picola","Iron Age II, Iberian",450 - 350 BC,Maybe,450,,2400,3 specimens,38.22035,-0.55415
Europe,Portugal,Castro Marim,Iron Age,450-3rd c. BC,Maybe,450,,2400,bones,37.21845,-7.44165
Eastern Asia,China,Jiuliandun,Warring States Period,476-221 BCE,Maybe,476,,2426,1 skeleton,31.9749,112.84793
Europe,Switzerland,Neunkirch,Hallstatt D3/La Tène A,500 - 380 BCE,Maybe,500,,2450,1 specimen,47.68952,8.50044
Europe,Switzerland,Möhlin,Hallstatt D3/La Tène A,500 - 380 BCE,Maybe,500,,2450,62 (MNI = 3),47.55913,7.84425
Europe,Switzerland,Gelterkinden,Hallstatt D3/La Tène A,500 - 380 BCE ,Maybe,500,,2450,c. 20 + fragments of eggshells,47.46561,7.85603
Europe,France,"Rosheim, Mittelweg",Hallstatt D3/La Tène A ,500-380 BCE,Maybe,500,,2450,4 specimens,48.49667,7.47053
Europe,Italy,Casale di Rivalta,Etruscan-Padan culture,500-400 BC,Maybe,500,,2450,+,44.65872,10.5891
Europe,Italy,"Tarquinia, interro della Civita",Iron Age,500-400 BCE,Maybe,500,,2450,depiction,42.25418,11.75757
Europe,Italy,Vulci,Iron Age III C/D,525-500 BCE,Maybe,525,,2475,?,42.42412,11.6311
Western Asia and Levant,Iran,Takht-i Suleiman,Achaemenid Empire,539-331 BCE,Maybe,539,,2489,3 specimens ,36.6039,47.235
Western Asia and Levant,Turkey,Dülük Baba Tepesi,Iron Age IIC/Achaemenid Period,550-330 BCE,Maybe,550,,2500,10 specimens,37.12761,37.34528
Western Asia and Levant,Syria,Tell Sukās,Iron Age IIC; Archaic Period,552-498 BCE,Maybe,552,,2502,1 specimen,35.30625,35.922778
Europe,Spain,"L'Illa d'en Reixac, Catalonia",Iron Age I and II,600 - 200 BC,Maybe,600,,2550,?,41.44704,1.97283
Europe,Germany,Mengen ,Hallstatt D/La Tène A,600 - 380 BC,Maybe,600,,2550,?,48.05275,9.33571
Europe,Spain,"Empúries, Catalonia",Iron Age I/early II,600 - 400 BC,Maybe,600,,2550,?,42.13402,3.11243
Europe,Spain,Cerro de la Tortuga,Iron Age I – Phoenician,600 - 500 BCE,Maybe,600,,2550,9 specimens,36.716667,-4.416667
Europe,Italy,"Tarquinia, interro della Civita",Iron Age III B/C,600 - 550 BC ,Maybe,600,,2550,1,42.25418,11.75757
Europe,Italy,"Metaponto, Basilicata",Greek Period,600-200 BCE,Maybe,600,,2550,2 specimens,40.383334,16.56
Western Asia and Levant,Turkey,Lidar Höyük,Iron Age II,600-400 BCE,Maybe,600,,2550,2 specimens,37.362778,38.525556
Europe,Italy,"Eolo, Lipari",Iron Age III ,600-400 BCE,Maybe,600,,2550,13 specimens,38.46951,14.95422
Europe,Italy,Monte Polizzo,Iron Age III ,600-400 BCE,Maybe,600,,2550,?,37.864444,12.788333
Europe,Italy,Paestum,Iron Age III ,600-400 BCE,Maybe,600,,2550,10,40.42315,15.00716
Europe,Germany,Heuneburg,Hallstatt D - La Tène A ,600-480/450 BCE,No,600,,2550,25 specimens,48.094597,9.412
Europe,Italy,San Claudio,Etruscan-Padan culture,600-500 BCE,Maybe,600,,2550,+,41.9021,12.48138
Europe,Hungary,Balassagyarmat,Scythian Period,650 - 450 BC ,Maybe,650,,2600,2,48.07119,19.29371
Europe,Hungary,Jászfelsöszentgyörgy,Scythian Period,650 - 450 BC ,Maybe,650,,2600,1,47.5068,19.78871
Northern Africa ,Egypt,Elephantine,Late Period,664-332 BCE,Maybe,664,,2614,2 specimens,24.09,32.88944
Western Asia and Levant,Turkey,Kalabak Tepe /Milet,Iron Age IIC/Archaic Period,700-494 BCE,Maybe,700,,2650,11 specimens,37.531111,27.275556
Western Asia and Levant,Turkey,Zeytin Tepe/Milet,Iron Age IIC/Archaic Period,700-494 BCE,Maybe,700,,2650,30 specimens,37.531112,27.275557
Western Asia and Levant,Jordan,Tell Hesban,Iron Age IIC/Early Persian Period,700-500 BCE,Maybe,700,,2650,large quantity,31.818611,35.798889
Western Asia and Levant,Iran,Bastam,Iron Age IIB/ Urartian Period and Median Empire,700-553 BCE,Maybe,700,,2650,2 specimens ,38.883333,44.95
Europe,Bulgaria,Kabyle,Early Iron Age,700-600 BC,Maybe,700,,2650,?,42.550556,26.484167
Europe,Czech Republik,Rubín (distr. Louny),Hallstatt C-D/La Tène A,720-380 BCE,Maybe,720,,2670,1 skeleton,50.25417,13.43778
Europe,Spain,Cabezo de San Pedro (Huelva),Iron Age I – Tartessian,750 - 450 BC,Maybe,750,,2700,10 specimens,37.58778,-0.96806
Europe,Spain,Castillo de Doña Blanca ,Iron Age I,750 - 600 BC,Maybe,750,,2700,13 specimens,36.6271,-6.1613
Western Asia and Levant,Iran,Tepe Nush-i Jan,Iron Age IIB/Urartian Period,750-590 BCE,Maybe,750,,2700,303 specimens,34.47034,48.73535
Western Asia and Levant,Armenia,Argishtikhnili,Iron Age IIB/Urartian Period,776-500 BCE,Maybe,776,,2726,specimens,40.1025,43.9883
Europe,Spain,Morro de Mezquitilla,Iron Age I,800 - 400 BC,Maybe,800,,2750,15 specimens,36.748611,-4.049167
Europe,Spain,Toscanos,Iron Age I/Phoenician,800 - 600 BC,Maybe,800,,2750,6+3 specimens,36.73585,-4.11748
Western Asia and Levant,Yemen,Al Hamid,Iron Age IIB-C,800-600 BCE,Maybe,800,,2750,3 specimens,13.45908,43.43445
Europe,Germany,Wallerfangen ,Hallstatt C/D,850 - 480/450 BC,Maybe,850,,2800,1 specimen,49.33125,6.7155
Western Asia and Levant,Armenia,Horom,Iron Age IIB/Urartian Period,860-590 BCE,Maybe,860,,2810,1 specimen,40.65256,43.89179
Western Asia and Levant,Iraq,Nippur (III),Iron Age IIB/Neo-Assyrian Empire ,911-612 BCE,Maybe,911,,2861,1 specimen,32.126111,45.230833
Western Asia and Levant,Turkey,Ziyaret Tepe,Iron Age IIB/Neo-Assyrian Empire,911-612 BCE,Maybe,911,,2861,4 specimens ,37.793611,40.793056
Western Asia and Levant,Syria,Dur-Katlimmu,Iron Age IIB; Neo-Assyrian Empire,934-608 BCE,Maybe,934,,2884,7 specimens,35.643333,40.740278
Eastern Asia,China,Yinxu,Late Shang Dynasty ,"1,320-1,046 BCE",Maybe,1320,,3270,1 partial,36.126667,114.313889
Eastern Asia,China,Dasikongcun,Late Shang Dynasty,"1,320-1,046 BCE",Maybe,1320,,3270,2 skeletons,36.12522,114.33602
Europe,Great Britain,Mill Hill,late Middle Iron Age, ~200-150 BCE,No,200,,2150,Burial,51.61729,-0.22139
Northern Africa ,Egypt,Abar el-Kanayis,,~0-600 CE,No,0,,1950,17 specimens,31.00722,26.80333
Europe,Sweden,"Hulje, Östergötland",Early Roman Iron Age,AD 0 – 100 ,Maybe,0,,1950,1 specimen,58.33333,15.1
Europe,Italy,Casalandri,Late Iron Age,100 BCE-0,Maybe,100,,2050,330 specimens,45.2923,11.21453
Europe,Poland,Janikowo (site no. 11),Late La Tène/early Roman Period,100 BCE - 80 CE ,Maybe,100,,2050,10 speciemens,52.75378,18.11328
Eastern Asia,Japan,"Haruno-tsuji, Iki Island",Middle-Late Yayoi Period,100 BCE-250 CE,Maybe,100,,2050,3 specimens,33.76297,129.75023
Eastern Asia,Japan,"Karakami, Iki Island",Middle-Late Yayoi Period ,100 BCE-250 CE,Maybe,100,,2050,2 specimens,33.79199,129.69721
Eastern Asia,Japan,Tsukasaki-higashi-hata,Middle-Late Yayoi Period,100 BCE-250 CE,Maybe,100,,2050,1 specimen,33.20192,130.37476
Europe,Great Britain,Ashville,Late Iron Age,100 BCE-43 CE,Maybe,100,,2050,1 specimen,51.67078,-1.28795
Europe,Great Britain,Uley (site West Hill),Late Iron Age,100 BCE-43 CE,Maybe,100,,2050,7 specimens,51.68205,-2.30469
Europe,Sweden,"Malmö, Scania",Early Roman Iron Age,100 BCE - AD 0 ,Maybe,100 ,,2050,1 specimen,55.60498,13.00382
Europe,Romania,"“Grad”, Divici",Late La Tène – Daces,100 BCE - AD 100 ,Maybe,100 ,,2050,?,44.78268,21.4823
Europe,Romania,Mereşti,Late La Tène – Daces,100 BCE - AD 100 ,Maybe,100 ,,2050,?,46.23439,25.457
Western Asia and Levant,Israel,Jerusalem – City of David,Iron Age II,"1,000/980-586 BCE",No,1000,,2950,1 specimen,31.77481,35.23553
Western Asia and Levant,Israel,Jerusalem – ‘Ophel,Iron Age II,"1,000/980-586 BCE",No,1000,,2950,6 specimens,31.77482,35.23554
Western Asia and Levant,Israel,Bab-el-Hawa,Iron Age II,"1,000/980-586 BCE",No,1000,,2950,12 specimens,33.00326,35.73542
Western Asia and Levant,Israel,Lachish,Iron Age II,"1,000/980-586 BCE",No,1000,,2950,2 specimens,31.56091,34.84409
Western Asia and Levant,Israel,Tel ‘Ira,Iron Age II,"1,000/980-586 BCE",No,1000,,2950,13 specimens,31.2328,34.9867
Western Asia and Levant,Israel,Tel Yoqne’am,Iron Age II,"1,000/980-586 BCE",No,1000,,2950,1 specimen,32.659444,35.11
Western Asia and Levant,Israel,Tel Michal,Iron Age II,"1,000/980-586 BCE",No,1000,,2950,1 specimen,32.159167,34.797778
Western Asia and Levant,Israel,Tel en-Nasbeh,Iron Age II ,"1,000/900-586 BCE",No,1000,,2950,1 depiction,31.885136,35.216417
Europe,Italy,Valeggio,Late Iron Age,101 BCE-0,Maybe,101,,2051,165 specimens,45.35,10.733333
Mainland Southeast Asia,Thailand,Ban Non Wat,Bronze Age,"~1,038-950 BCE ",No,1038,,2988,1 skeleton,15.274415,102.268896
Western Asia and Levant,Libanon,Tell Kāmid el-Lōz,Iron Age I,"~1,200/1,100-800 BCE",No,1200,,3150,7 specimens,33.623419,35.821311
Southern Asia,India,Daimabad (Phase V),Jorwe Culture,"~1,400-1,000 BCE",No,1400,,3350,9 specimens,19.516667,74.7
Mainland Southeast Asia,Thailand,Non Nok Tha,Late Neolithic and Bronze Age,"~1,400-400 BCE",No,1400,,3350,1 Individual,16.737194,102.2555
Northern Africa ,Tunisia,Carthage,,~146 BC-400 CE,No,146,,2096,71 specimens,36.853056,10.323056
Europe,Switzerland,"Bern, Engehalbinsel",La Tène D,150 BCE – 15 BCE,Maybe,150,,2100,MNI=2/3,46.94798,7.44746
Mainland Southeast Asia,Thailand,Ban Non Wat,Neolithic,"~1,650-1,250 BCE",No,1650,,3600,24 specimens,15.274415,102.268896
Europe,Switzerland,"Bern, Engemeistergut",La Tène D,190/150 BCE - AD 0,No,190,,2140,4 specimens,46.94797,7.44745
Europe,Germany,Breisach-Hochstetten,La Tène D ,190/150-15 BCE,No,190,,2140,11 specimens,48.094597,9.412
Europe,Germany,Hoppstädten-Weiersbach,La Tène D,190/150-15 BCE,No,190,,2140,5 skeletons,49.61477,7.18865
Europe,Germany,Holzhausen,La Tène D,190/150-15 BCE,No,190,,2140,2 specimens,48.00789,11.08982
Europe,Germany,Kleinkayna,La Tène D,190/150-15 BCE,No,190,,2140,2 specimens,51.28702,11.93028
Europe,Germany,Heimbach-Weis ,La Tène D,190/150-15 BCE ,No,190,,2140,12 specimens,50.44925,7.54478
Europe,Germany,Remda,La Tène D ,190/150-15 BCE ,No,190,,2140,2 specimens,50.75928,11.22797
Europe,Italy,San Giorgio di Valpolicella,Late Iron Age,200 BCE-0,Maybe,200,,2150,17 specimens,45.53474,10.84961
Europe,Poland,Konary (site no. 28),Przeworsk Culture,200 BCE - 500 CE ,Maybe,200,,2150,3 specimens,49.93537,19.92636
Europe,Romania,"Pecica (site Şanţul Mare, Pecica)",La Tène and Roman Period,200 BCE - AD 100 ,Maybe,200,,2150,?,46.16894,21.06784
Mainland Southeast Asia,Thailand,Phum Snay,,200 BCE-300 CE,Maybe,200,,2150,6 specimens,13.623889,103.206389
Europe,Poland,Łyszkowice (site no. 1),Przeworsk Culture,201 BCE - 500 CE ,Maybe,201,,2151,?,51.98576,19.90647
Europe,France,Auve,La Tène C1,280/250-200 BCE ,No,280,,2230,43 specimens,49.03348,4.69406
Europe,France,Les Mesneux,La Tène C1,280/250-200 BCE ,No,280,,2230,11 specimens,49.21912,3.96025
Northern Africa ,Libya,Cyrene,,~300-150 BCE,No,300,,2250,3 specimens,32.80345,21.86282
Europe,Austria,Göttlesbrunn,La Tène B/C,~300-190/150 BCE,No,300,,2250,13 specimens,48.05841,16.73795
Europe,Ukraine,Tiras,Late Iron Age,300 BC-200 AD,Maybe,300,,2250,85 specimens,46.98804,28.878
Europe,Greece,Lousoi Sanctuary,Hellenistic,3./2. Century BCE ,No,300,,2250,22,38.0113,22.0972
Europe,Poland,Nowa Cerekwia ,Early to late La Tène,300 BCE - 0 ,Maybe,300 ,,2250,13 specimens,50.09088,17.93112
Europe,Italy,Santorso,Late Iron Age,~325-200 BCE ,No,325,,2275,3 specimens,45.73658,11.38287
Europe,France,Roissy-en-France,La Tène B2,330/320-280/250 BCE,No,330,,2280,26 specimens,49.00363,2.51698
Europe,France,Auve,La Tène B2,330/320-280/250 BCE,No,330,,2280,3 specimens,49.03348,4.69406
Central Asia,Uzbekistan,Kurgansol,Persian Period,Late 4th c. BCE ,No,333,,2283,16 specimens,38.80132,67.00101
Europe,Austria,Mannersdorf a. Leithagebirge,La Tène B/C,~350-250 BCE,No,350,,2300,?,47.97446,16.60327
Western Asia and Levant,Turkey,Halikarnassos,Late Achaemenid period,~350 BCE,No,350,,2300,14 skeletons,37.0379,27.4241
Europe,France,Ville-Saint-Jacques,La Tène B1,~380-320 BCE,No,380,,2330,25 specimens,48.34242,2.89405
Europe,Greece,"Kommos, Temple C, Sanctuary",Classial to Early Roman,400 BC - AD 150 ,Maybe,400,,2350,10,35.01765,24.76011
Europe,Austria,"Dürrnberg, Moserfeld-Osthang",La Tène B,~400-300 BCE,No,400,,2350,1 partial skeleton,47.66486,13.09168
Europe,Austria,"Dürrnberg, Siedlung im Ramsautal",La Tène B ,~400-300 BCE,No,400,,2350,6 specimens,47.66487,13.09169
Europe,Austria,Kuffarn,La Tène B,~400-300 BCE,No,400,,2350,depiction,48.28252,15.29694
Europe,Great Britain,Winklebury,middle Late Iron Age,400 BCE-43 CE,Maybe,400,,2350,49 specimens,51.26784,-1.12133
Europe,Italy,Marzabotto,Iron Age,Late 5th - early 4th century BCE,No,433,,2383,+,44.34226,11.20529
Europe,Slovakia,Nebojsa,La Tène,~450 BC –0 ,No,450,,2400,4 specimens,48.39439,17.72162
Europe,Czech Republik,Radovesice (feature no. 1024),Latène A,~450 - 350 BC,Maybe,450 ,,2400,1 individual ,50.41097,14.06829
Europe,Switzerland,Zug,La Tène A,480/450 - 380 BCE ,No,480,,2430,MNI=3,47.16617,8.51549
Europe,France,Aubigny,La Tène A/B,480/450-280/250 BCE,No,480,,2430,2 specimens,49.89986,2.48329
Europe,France,"Compiègne, “Le Fond Pernant” ",La Tène A/B,480/450-280/250 BCE,No,480,,2430,3 specimens,49.41782,2.82614
Europe,France,Bussy-St-Georges,La Tène A/B,480/450-280/250 BCE,No,480,,2430,12 specimens,48.84221,2.69802
Eastern Africa,Ethiopia,"Ona Nagast, Axum",Early Aksumite; Middle 'Aksumite,~50/40 BCE-140/170 CE; ~340/370-500/550 CE,No,50,,2000,1 specimen; 3 specimens,14.13404,38.74730
Europe,Belgium,Tongeren (Veemarkt),Early Roman,50 BCE-50 CE,Maybe,50,,2000,215 specimens,50.78419,5.47449
Europe,Belgium,Wange,Early Roman,50 BCE-50 CE,Maybe,50,,2000,12 specimens,50.78598,5.03176
Europe,Belgium,Piringen (Mulkenveld),Early Roman,50 BCE-50 CE,Maybe,50,,2000,20 specimens,50.78641,5.41789
Northern Africa ,Tunisia,Carthage,,~500-146 BCE,No,500,,2450,21 specimens,36.853056,10.323056
Europe,Greece,"Athens, Aphrodite Ourania Sanctuary",Classical Period,~500 BCE,No,500,,2450,2,37.98381,23.72754
Europe,France,Menneville,Hallstatt D2/3-La Tène A/B,B550/530 BCE - 280/250 BCE ,No,550,,2500,2 specimens,50.66921,1.86383
Europe,France,"Bucy-le-Long, Grand Marais (le)",Hallstatt D2/3 - La Tène A/B,550/530-280/250 BCE,No,550,,2500,2 specimens,49.39009,3.39244
Western Asia and Levant,Turkey,Büyüktepe Höyük ,Achaemenid period,~550-330 BCE,No,550,,2500,4 specimens,40.236667,40.223611
Europe,Czech Republik,Poříĉany (distr. Kolin),Hallstatt D2/D3,~550/530-480/450 BC ,No,550,,2500,?,50.10807,14.91818
Europe,France,"Bourges, Littré",Hallstatt D2/3,550/530-480/450 BCE,No,550,,2500,1 specimen,47.08552,2.39076
Europe,France,"Bourges, Saint-Martin-des-Champs",Hallstatt D2/3,550/530-480/450 BCE,No,550,,2500,21 specimens,47.15696,2.91028
Europe,France,"Lyon, 10 rue Marietton",Hallstatt D2/3,550/530-480/450 BCE,No,550,,2500,?,45.77521,4.80685
Europe,France,"Lyon, 65 rue du Souvenir",Hallstatt D2/3,550/530-480/450 BCE,No,550,,2500,1 specimen,45.77541,4.79597
Europe,France,"Lyon, rue du Docteur Horand",Hallstatt D2/3,550/530-480/450 BCE,No,550,,2500,1 specimen,45.77181,4.80185
Europe,France,"Lyon, Station métro Gorge-de-Loup",Hallstatt D2/3,550/530-480/450 BCE,No,550,,2500,?,45.76683,4.80332
Europe,Ukraine,Ol'vija bei Parutino  ,Iron Age,600 BC-0,Maybe,600,,2550,145 specimens,46.70686,31.89527
Mainland Southeast Asia,Thailand,Ban Na Di,Bronze Age,~600-400 BCE ,No,600,,2550,1 skeleton,16.800833,102.341111
Europe,Germany,Breisach-Münsterberg,Hallstatt D,~600 - 480/450 BC ,No,600 ,,2550,4 specimens,48.03484,7.58361
Europe,Czech Republik,Prague-Michle,Hallstatt D/La Tène A,"~600 - 480/450 BC, 450 - 350 BC",No,600 ,,2550,?,50.04829,14.45699
Europe,Czech Republik,Radovesice,Hallstatt D/La Tène A,"~600 - 480/450 BC, 450 - 350 BC",No,600 ,,2550,24,50.41098,14.06830
Northern Africa ,Sudan,Nuri ,,~650-600 BCE,No,650,,2600,Depictions ,18.566667,31.916667
Europe,Austria,Inzersdorf-Walpertsdorf,Halstatt D/La Tène A,c. 650 - 400 BC,No,650 ,,2600,2,48.31469,15.67745
Europe,Germany,Landau a. d. Isar,Hallstatt D ,~650 – 450 BCE,No,650 ,,2600,1 specimen,48.68285,12.69206
Northern Africa ,Morocco,Islas de Mogador,,~700-400 BCE,No,700,,2650,28 specimens,31.495556,-9.786389
Europe,Finland,Kyyhkylä,Middle Ages,~800-~1500,No,800,,2750,2 specimens,61.6353,27.28849
Europe,Portugal,Alcáçova de Santarém,Iron Age,8th-4th BC,No,800,,2750,several bones,39.23432,-8.67663
Europe,Italy,Incoronata / Chora of Metaponto,Iron Age,~800 - 500 BC ,No,800 ,,2750,1,40.383333,16.55
Eastern Africa,Ethiopia,Mezber,Pre-Aksumite,~850-750 BCE; ~600-400 BCE,No,850,,2800,20 specimens; 10 specimens,14.13403,38.74729
Western Asia and Levant,Turkey,Gordium,Iron Age IIB and C/Phrygian Kingdom and Achaemenid Empire,~900-330 BCE,No,900,,2850,specimens,39.655,31.994167
Western Asia and Levant,Turkey,"Büyükkaya, Boĝazköy",Iron Age IIB/Phrygian Kingdom,~900-695 BCE,No,900,,2850,1 specimen,40.021111,34.609722
Western Asia and Levant,Turkey,Kaman-Kalehöyük,Iron Age IIB/Phrygian Kingdom,~900-695 BCE,No,900,,2850,2 specimens,39.362854,33.786714
Western Asia and Levant,Syria,Tell Halaf,Iron Age IIB,Late 10th or 9th c. BCE,No,933,,2883,depiction,36.826706,40.039325
Western Asia and Levant,United Arabian Emirates,Tell ed-Dur,,1-400 CE,Maybe,,1,1949,specimens,25.51323,55.56908
Western Africa,Burkina Faso,Kirikongo,Yellow I Period,100-560 CE,Maybe,,100,1850,eggshell,12.553889,-3.363056
Western Africa,Burkina Faso,Kirikongo,Yellow II Period; Red I-III Periods,"560-600 CE; 700-1,400 CE",No,,560,1390,2 specimens; 11 specimens,12.553889,-3.363056
Western Africa,Mali,Jenné-jeno,later Phase III; Phase IV,"600-800 CE; 850-1,400 CE",No,,600,1350,specimens,13.89,-4.540278
Southern Africa,RSA,Ndondondwane,Ndondondwane Phase,780-790 CE,Maybe,,780,1170,18 specimens,-28.8567,31.00891
Eastern Africa,Madagaskar,Andaro,,"900-1,300 CE",Maybe,,900,1050,specimens,-24.65,45.38333
Western Africa,Mauritania,Oualata/Walata region,,"1,352-1,353 CE",Maybe,,1352,598,written account,17.29901,-7.02162
Europe,Spitsbergen,"Whaling stations (Smeerenburg, Laegerneset, Midterbuken",Early Modern Period,1613-1640 CE,Maybe,,1613,337,?,77.87497,20.97518
Europe,Russia,Michajlovskoe,Roman Period,1st half 1st Millenium AD ,No,,1,1949,2 specimens,57.593056,39.723333
Europe,Netherlands,"Nijmegen, St. Jozefschool",Early Roman Period ,~10-25 CE,No,,10,1940,4 specimens,51.81256,5.83723
Eastern Asia,Japan,Asahi,Late Yayoi Period,100 CE-250 CE,Maybe,,100,1850,1 specimen,35.22007,136.85207
Eastern Asia,Japan,Sakemi,Late Yayoi Period ,100 CE-250 CE,Maybe,,100,1850,2 specimens,33.2295,130.34729
Eastern Asia,Japan,Miyanoshita,Late Yayoi-Middle Kofun,100 CE-538CE,Maybe,,100,1850,3 specimens,34.70549,135.53284
Eastern Africa,Comoro islands,Sima,,"~1,000-1,100 CE",No,,1000,950,specimens,-12.21381,44.43706
Eastern Africa,Comoro islands,Domomi ,,"~1,000-1,300 CE",No,,1000,950,specimens,-12.21382,44.43706
Western Africa,Burkina Faso,Oursi village,Iron Age,"~1,000-1,400 CE",No,,1000,950,1 specimen,14.67984,-0.49040
Western Africa,Burkina Faso,Saouga,Iron Age,"~1,000-1,400 CE",No,,1000,950,7 specimens,14.35811,-0.15256
Western Africa,Burkina Faso,Kerebe-Sira-Tomo,Iron Age,"~1,000-1,400 CE",No,,1000,950,5 eggs,12.45,-3.4667
Western Africa,Mali,Akumbu,"Mound A, Middle Phase IV","~1,000-1,400 CE",No,,1000,950,specimens,15.27815,-5.55254
Western Africa,Mali,Toguéré Galia,,"~1,000-1,400 CE",No,,1000,950,specimens,14.6338,-3.41955
Western Africa,Ghana,Asantemanso,,~1100-1400 CE,No,,1100,850,2 specimens,5.92395,-2.94382
Europe,Norway,"Oslo, Gamlebyen, Mindets Tomt II+III",Middle Ages,1125–1350 AD ,Maybe,,1125,825,10 speciemens,59.91387,10.75225
Western Africa,Ghana,Kuulo Kataa,,~1200-1700 CE,No,,1200,750,2 specimens,8.17479,-2.32292
Central Africa,Cameroon,Blé Mound B ,,"~1,290-1,440 CE",No,,1290,660,1 specimen,6.21668,11.43334
Europe,Netherlands,Velsen I,Early Roman Period ,~15-30 CE,No,,15,1935,2588 specimens,52.45206,4.63059
Eastern Africa,Mauritius,Bay giving access to Fort Frederik Hendrik,,1639 CE,Yes,,1639,311,written record,-20.37389,57.72728
